,Brand,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Garanti Süresi,Garanti Tipi,Kullanım Amacı,Price,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,SSD Kapasitesi,Star,Çözünürlük,Çözünürlük Standartı,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi
71,MSI,3.0,0,15.6,DDR4,4.0,2.0,Resmi Distribütör Garantili,Oyun,25629.0,16,4,512.0,4.2,1.0,2.0,11.0,Intel Core i7,8.0,Windows
72,ASUS,2.0,0,14.0,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,18499.0,16,4,512.0,5.0,2.0,2.0,11.0,Intel Core i5,4.0,Free Dos
73,ACER,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,14896.17,8,4,512.0,5.0,1.0,2.0,10.0,Intel Core i5,8.0,Free Dos
74,ASUS,2.0,0,17.3,GDDR6,8.0,2.0,Marka Grantili,Oyun,84999.0,16,8,1024.0,5.0,1.0,2.0,12.0,Intel Core i9,14.0,Free Dos
75,ASUS,2.0,0,17.3,GDDR6,8.0,2.0,Resmi Distribütör Garantili,Oyun,61799.0,16,8,1024.0,5.0,1.0,2.0,12.0,Intel Core i9,14.0,Free Dos
76,MSI,3.0,0,17.3,GDDR6,16.0,2.0,Resmi Distribütör Garantili,Oyun,109999.0,64,8,2048.0,5.0,3.0,4.0,12.0,Intel Core i9,16.0,Windows
77,ACER,2.0,0,17.3,GDDR6,8.0,2.0,Resmi Distribütör Garantili,Oyun,29399.02,16,4,512.0,5.0,1.0,2.0,5.0,AMD Ryzen 7,8.0,Free Dos
78,Apple,3.0,0,13.0,DDR4,0.0,2.0,Marka Grantili,Ofis - İş,27199.0,8,4,256.0,5.0,2.0,4.0,2.0,M2,8.0,Mac Os
79,ASUS,2.0,0,15.6,GDDR6,8.0,2.0,Resmi Distribütör Garantili,Oyun,40999.0,16,8,1024.0,5.0,1.0,2.0,6.0,AMD Ryzen 7,8.0,Free Dos
80,MSI,3.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Ofis - İş,28609.0,16,6,512.0,4.2,1.0,2.0,12.0,Intel Core i7,14.0,Windows
81,ASUS,2.0,0,15.6,GDDR6,8.0,2.0,Resmi Distribütör Garantili,Oyun,39499.0,16,8,1024.0,5.0,1.0,2.0,6.0,AMD Ryzen 7,8.0,Free Dos
82,ASUS,2.0,0,15.6,GDDR6,6.0,2.0,Resmi Distribütör Garantili,Oyun,28027.02,16,8,512.0,4.69,1.0,2.0,6.0,AMD Ryzen 7,8.0,Free Dos
83,LENOVO,2.0,0,15.6,GDDR6,6.0,2.0,Marka Grantili,Oyun,37177.0,16,4,1024.0,4.43,2.0,3.0,11.0,Intel Core i7,6.0,Free Dos
84,ASUS,2.0,0,15.6,GDDR6,6.0,2.0,Resmi Distribütör Garantili,Oyun,32399.0,16,4,512.0,5.0,1.0,2.0,6.0,AMD Ryzen 7,8.0,Free Dos
85,LENOVO,2.0,0,17.3,GDDR6,6.0,2.0,Resmi Distribütör Garantili,Oyun,33943.0,16,4,512.0,5.0,1.0,2.0,11.0,Intel Core i7,8.0,Free Dos
86,ACER,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,19899.0,16,8,512.0,4.48,1.0,2.0,6.0,AMD Ryzen 7,8.0,Free Dos
87,LENOVO,3.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,19999.0,16,4,512.0,4.71,1.0,2.0,11.0,Intel Core i5,2.0,Free Dos
88,ACER,2.0,0,15.6,GDDR6,6.0,2.0,Resmi Distribütör Garantili,Oyun,32309.99,16,4,512.0,5.0,1.0,2.0,12.0,Intel Core i7,14.0,Free Dos
89,Apple,3.0,0,13.0,DDR4,0.0,2.0,Marka Grantili,Ofis - İş,27669.0,8,4,256.0,4.5,2.0,4.0,2.0,M2,8.0,Mac Os
90,ASUS,3.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,25999.0,16,3,512.0,3.67,1.0,2.0,11.0,Intel Core i7,4.0,Windows
91,ACER,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,18599.0,16,4,512.0,5.0,1.0,2.0,5.0,AMD Ryzen 7,8.0,Free Dos
92,HP,2.0,0,16.1,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,17999.0,8,4,512.0,5.0,1.0,2.0,12.0,Intel Core i5,12.0,Free Dos
93,LENOVO,3.0,0,15.6,GDDR5,2.0,2.0,Resmi Distribütör Garantili,Ofis - İş,23999.99,32,3,1024.0,5.0,1.0,2.0,11.0,Intel Core i7,4.0,Free Dos
94,HP,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,24499.02,16,4,512.0,4.93,1.0,2.0,11.0,Intel Core i7,4.0,Free Dos
95,ASUS,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,18799.0,8,4,512.0,5.0,1.0,2.0,4.0,AMD Ryzen 5,6.0,Free Dos
96,Apple,3.0,0,13.3,SD,0.0,2.0,Resmi Distribütör Garantili,Ofis - İş,34918.03,16,9,512.0,5.0,2.0,4.0,2.0,M2,8.0,Mac Os
97,ASUS,2.0,0,15.6,GDDR6,4.0,2.0,Resmi Distribütör Garantili,Oyun,24899.0,16,4,1024.0,4.5,1.0,2.0,4.0,AMD Ryzen 7,8.0,Free Dos
